Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,87.459999,88.269997,87.010002,87.720001,86.396553,5942500
2023-02-17,87.199997,87.430000,86.510002,87.279999,85.963196,6398400
2023-02-21,86.760002,86.940002,86.150002,86.199997,84.899490,5260300
2023-02-22,86.680000,87.180000,85.980003,86.320000,85.017685,5840100
2023-02-23,87.150002,89.480003,87.059998,88.580002,87.243584,8637100
2023-02-24,87.309998,88.889999,87.139999,88.660004,87.322372,7659200
2023-02-27,88.860001,88.970001,87.360001,87.959999,86.632935,6748800
2023-02-28,87.699997,88.010002,87.180000,87.400002,86.081390,7468000
2023-03-01,86.900002,87.209999,85.989998,86.339996,85.037376,5119800
2023-03-02,86.059998,87.279999,85.870003,86.970001,85.657883,5293600
2023-03-03,87.320000,89.290001,87.080002,89.250000,87.903481,5498500
2023-03-06,89.410004,90.669998,89.150002,89.739998,88.386078,7424800
2023-03-07,89.580002,90.080002,88.050003,88.360001,87.026909,5382400
2023-03-08,88.400002,89.089996,88.150002,88.489998,87.154945,5159200
2023-03-09,88.330002,89.639999,86.529999,86.870003,85.559387,10572300
2023-03-10,84.410004,85.250000,82.879997,84.070000,82.801628,16029300
2023-03-13,83.320000,85.529999,82.040001,84.930000,83.648651,10299800
2023-03-14,85.930000,85.930000,83.430000,84.559998,83.284233,8732200
2023-03-15,83.080002,83.370003,82.120003,82.980003,81.728081,11463000
2023-03-16,82.919998,85.110001,82.080002,84.820000,83.540314,10148100
2023-03-17,85.000000,85.980003,84.610001,85.260002,83.973679,13065800
2023-03-20,85.279999,87.510002,85.250000,86.959999,85.648033,9177300
2023-03-21,87.489998,87.849998,86.660004,87.580002,86.258675,6683700
2023-03-22,87.540001,89.160004,87.440002,87.900002,86.573845,7233700
2023-03-23,88.650002,89.639999,87.639999,87.779999,86.455650,10747100
2023-03-24,87.980003,88.480003,87.510002,88.010002,86.682182,5852100
2023-03-27,88.620003,90.500000,88.550003,90.139999,88.780045,8170100
2023-03-28,90.220001,90.879997,89.480003,89.849998,88.494423,6378900
2023-03-29,90.129997,90.660004,89.809998,90.620003,89.252815,5233600
2023-03-30,90.849998,91.180000,89.709999,90.510002,89.144470,5640700
2023-03-31,90.559998,93.000000,90.410004,92.919998,91.518105,10476300
2023-04-03,92.379997,94.000000,92.089996,93.919998,92.503014,8410900
2023-04-04,93.849998,94.019997,92.930000,94.000000,92.581818,6651500
2023-04-05,93.620003,95.110001,93.480003,94.889999,93.458382,7478800
2023-04-06,94.330002,96.080002,93.989998,95.919998,94.472847,9146200
2023-04-10,94.680000,95.110001,93.550003,93.760002,92.732147,8681500
2023-04-11,93.459999,94.129997,93.199997,93.970001,92.939842,8196000
2023-04-12,94.379997,95.320000,93.599998,93.900002,92.870605,8040300
2023-04-13,94.180000,95.750000,93.940002,95.550003,94.502518,6240200
2023-04-14,95.500000,95.989998,94.680000,95.709999,94.660767,6485100
2023-04-17,95.639999,95.989998,95.309998,95.589996,94.542076,4772400
2023-04-18,96.000000,96.739998,95.769997,96.470001,95.412430,7219400
2023-04-19,95.589996,96.470001,95.589996,95.809998,94.759659,4766200
2023-04-20,96.000000,96.150002,94.599998,94.830002,93.790405,5815500
2023-04-21,95.010002,95.309998,94.260002,95.150002,94.106903,7335800
2023-04-24,95.339996,96.080002,94.970001,95.440002,94.393730,4901700
2023-04-25,95.139999,95.699997,94.019997,94.059998,93.028839,5768800
2023-04-26,93.750000,94.809998,93.339996,93.709999,92.682686,6395500
2023-04-27,94.309998,95.089996,93.290001,95.040001,93.998108,5615700
2023-04-28,94.269997,95.400002,94.239998,94.720001,93.681618,8498500
2023-05-01,94.800003,95.730003,94.699997,94.870003,93.829971,5459800
2023-05-02,94.930000,95.239998,93.849998,94.800003,93.760735,5995100
2023-05-03,95.070000,95.419998,94.540001,94.779999,93.740952,6744800
2023-05-04,94.980003,95.120003,94.410004,94.970001,93.928879,5038200
2023-05-05,95.000000,97.309998,94.830002,96.970001,95.906944,8062700
2023-05-08,97.080002,97.279999,96.440002,96.790001,95.728920,5314800
2023-05-09,96.199997,96.889999,96.099998,96.139999,95.086052,6333500
2023-05-10,96.790001,97.680000,96.260002,97.519997,96.450912,5935300
2023-05-11,97.540001,97.629997,96.339996,97.440002,96.371796,5144500
2023-05-12,97.610001,97.919998,96.930000,97.849998,96.777306,4994700
2023-05-15,97.870003,97.959999,97.050003,97.260002,96.193764,4443700
2023-05-16,97.169998,98.849998,96.919998,98.250000,97.172920,6896500
2023-05-17,98.779999,100.400002,98.430000,99.769997,98.676254,9436000
2023-05-18,99.769997,102.459999,99.730003,102.339996,101.218079,10005700
2023-05-19,102.389999,103.070000,101.919998,102.839996,101.712593,8558900
2023-05-22,102.480003,103.099998,101.730003,101.769997,100.654320,5890500
2023-05-23,101.070000,101.430000,98.470001,98.540001,97.459740,10047300
2023-05-24,97.949997,98.879997,97.290001,98.320000,97.242157,6815900
2023-05-25,99.199997,104.660004,98.769997,104.290001,103.146706,16729600
2023-05-26,104.349998,106.230003,104.029999,104.080002,102.939003,13994100
2023-05-30,104.900002,105.980003,104.190002,105.150002,103.997276,10296700
2023-05-31,104.470001,106.489998,104.150002,105.940002,104.778618,13713500
2023-06-01,104.879997,106.610001,104.779999,105.989998,104.828064,7835900
2023-06-02,106.519997,106.769997,105.750000,105.889999,104.729164,8651600
2023-06-05,105.889999,107.599998,105.529999,106.930000,105.757759,7442000
2023-06-06,106.809998,107.489998,106.150002,107.099998,105.925896,7023000
2023-06-07,107.139999,108.370003,104.839996,105.250000,104.096176,9842500
2023-06-08,105.669998,107.790001,105.349998,107.480003,106.301735,9526700
2023-06-09,107.699997,110.150002,107.410004,109.849998,108.645752,12580100
2023-06-12,114.339996,117.510002,114.339996,116.430000,115.153618,39081500
2023-06-13,123.320000,123.989998,116.019997,116.680000,115.400871,39190900
2023-06-14,116.500000,122.510002,115.739998,122.269997,120.929581,26264200
2023-06-15,121.949997,127.540001,121.660004,126.550003,125.162674,27476700
2023-06-16,127.139999,127.400002,125.150002,125.459999,124.084618,19511500
2023-06-20,124.449997,125.250000,121.959999,122.040001,120.702110,16273000
2023-06-21,121.949997,123.360001,120.360001,122.099998,120.761452,17583000
2023-06-22,121.610001,122.589996,120.070000,120.580002,119.258118,12203400
2023-06-23,119.589996,119.900002,118.139999,118.639999,117.339378,19731600
2023-06-26,117.989998,119.430000,116.699997,116.779999,115.499779,8987000
2023-06-27,116.570000,118.459999,116.260002,117.839996,116.548157,6970400
2023-06-28,116.779999,118.620003,116.389999,116.529999,115.252518,9240500
2023-06-29,115.650002,117.800003,114.629997,117.779999,116.488815,9234300
2023-06-30,119.839996,121.730003,119.029999,119.089996,117.784447,13700600
2023-07-03,118.010002,118.250000,116.830002,117.150002,115.865723,4284700
2023-07-05,116.519997,117.010002,115.410004,115.959999,114.688766,8466500
2023-07-06,114.669998,115.809998,114.639999,115.449997,114.184364,7982800
2023-07-07,114.839996,115.980003,114.489998,114.610001,113.353569,7000800
2023-07-10,114.279999,115.029999,113.660004,114.379997,113.126083,6931000
2023-07-11,114.199997,115.000000,113.430000,114.879997,114.019348,6118600
2023-07-12,115.669998,118.089996,115.639999,116.019997,115.150803,11011600
2023-07-13,117.089996,118.580002,116.760002,117.449997,116.570084,9359600
2023-07-14,118.180000,119.970001,117.680000,119.269997,118.376457,7720900
2023-07-17,118.849998,119.970001,118.250000,118.889999,117.999306,6735900
2023-07-18,118.779999,121.290001,117.809998,120.769997,119.865219,8906700
2023-07-19,120.820000,121.360001,118.419998,118.690002,117.800804,7609000
2023-07-20,117.489998,119.050003,115.230003,115.879997,115.011856,12913000
2023-07-21,116.489998,119.269997,116.209999,117.650002,116.768593,9157300
2023-07-24,117.940002,118.540001,116.730003,118.070000,117.185448,6200400
2023-07-25,117.980003,118.510002,116.809998,117.949997,117.066345,6266300
2023-07-26,117.419998,117.620003,115.000000,115.500000,114.634705,8160000
2023-07-27,117.550003,117.599998,115.639999,116.400002,115.527962,7843000
2023-07-28,116.680000,117.300003,115.650002,115.989998,115.121025,6910400
2023-07-31,116.430000,117.239998,115.830002,117.230003,116.351746,6703100
2023-08-01,116.919998,118.040001,116.480003,117.910004,117.026649,5246000
2023-08-02,116.919998,116.980003,114.320000,115.709999,114.843132,6387800
2023-08-03,115.239998,116.169998,114.260002,114.550003,113.691826,5193800
2023-08-04,115.339996,116.400002,114.260002,114.440002,113.582642,5577500
2023-08-07,115.470001,116.379997,115.070000,116.099998,115.230202,7347000
2023-08-08,115.040001,115.610001,114.220001,115.230003,114.366730,4694800
2023-08-09,115.339996,115.709999,112.330002,113.099998,112.252678,6542400
